id,match_number,home_team_id,away_team_id,home_team_placeholder,away_team_placeholder,city_id,stadium_name,city_name,region,stage_id,kickoff_at
1,1,1,2,,,15,Estadio Azteca,Mexico City,Central,1,2026-06-11T21:00:00Z
2,2,3,4,,,14,Estadio Akron,Guadalajara,Central,1,2026-06-12T04:00:00Z
3,3,5,6,,,12,BMO Field,Toronto,East,1,2026-06-12T19:00:00Z
4,4,13,14,,,6,SoFi Stadium,Los Angeles,West,1,2026-06-13T04:00:00Z
5,5,7,8,,,10,Levi's Stadium,San Francisco Bay Area,West,1,2026-06-13T22:00:00Z
6,6,9,10,,,8,MetLife Stadium,New York/New Jersey,East,1,2026-06-13T22:00:00Z
7,7,11,12,,,2,Gillette Stadium,Boston,East,1,2026-06-14T01:00:00Z
8,8,15,16,,,13,BC Place,Vancouver,West,1,2026-06-14T07:00:00Z
9,9,17,18,,,4,NRG Stadium,Houston,Central,1,2026-06-14T18:00:00Z
10,10,21,22,,,3,AT&T Stadium,Dallas,Central,1,2026-06-14T21:00:00Z
11,11,19,20,,,9,Lincoln Financial Field,Philadelphia,East,1,2026-06-14T23:00:00Z
12,12,23,24,,,16,Estadio BBVA,Monterrey,Central,1,2026-06-15T04:00:00Z
13,13,29,30,,,1,Mercedes-Benz Stadium,Atlanta,East,1,2026-06-15T16:00:00Z
14,14,25,26,,,11,Lumen Field,Seattle,West,1,2026-06-15T22:00:00Z
15,15,31,32,,,7,Hard Rock Stadium,Miami,East,1,2026-06-15T22:00:00Z
16,16,27,28,,,6,SoFi Stadium,Los Angeles,West,1,2026-06-16T04:00:00Z
17,17,33,34,,,8,MetLife Stadium,New York/New Jersey,East,1,2026-06-16T19:00:00Z
18,18,35,36,,,2,Gillette Stadium,Boston,East,1,2026-06-16T22:00:00Z
19,19,37,38,,,5,Arrowhead Stadium,Kansas City,Central,1,2026-06-17T02:00:00Z
20,20,39,40,,,10,Levi's Stadium,San Francisco Bay Area,West,1,2026-06-17T07:00:00Z
21,21,41,42,,,4,NRG Stadium,Houston,Central,1,2026-06-17T18:00:00Z
22,22,45,46,,,3,AT&T Stadium,Dallas,Central,1,2026-06-17T21:00:00Z
23,23,47,48,,,12,BMO Field,Toronto,East,1,2026-06-17T23:00:00Z
24,24,43,44,,,15,Estadio Azteca,Mexico City,Central,1,2026-06-18T04:00:00Z
25,25,4,2,,,1,Mercedes-Benz Stadium,Atlanta,East,1,2026-06-18T16:00:00Z
26,26,8,6,,,6,SoFi Stadium,Los Angeles,West,1,2026-06-18T22:00:00Z
27,27,5,7,,,13,BC Place,Vancouver,West,1,2026-06-19T01:00:00Z
28,28,1,3,,,14,Estadio Akron,Guadalajara,Central,1,2026-06-19T03:00:00Z
